,"Acadia Parish, LA","Allen Parish, LA","Ascension Parish, LA","Assumption Parish, LA","Avoyelles Parish, LA","Beauregard Parish, LA","Bienville Parish, LA","Bossier Parish, LA","Caddo Parish, LA","Calcasieu Parish, LA","Caldwell Parish, LA","Cameron Parish, LA","Catahoula Parish, LA","Claiborne Parish, LA","Concordia Parish, LA","De Soto Parish, LA","East Baton Rouge Parish, LA","East Carroll Parish, LA","East Feliciana Parish, LA","Evangeline Parish, LA","Franklin Parish, LA","Grant Parish, LA","Iberia Parish, LA","Iberville Parish, LA","Jackson Parish, LA","Jefferson Davis Parish, LA","Jefferson Parish, LA","LaSalle Parish, LA","Lafayette Parish, LA","Lafourche Parish, LA","Lincoln Parish, LA","Livingston Parish, LA","Madison Parish, LA","Morehouse Parish, LA","Natchitoches Parish, LA","Orleans Parish, LA","Ouachita Parish, LA","Plaquemines Parish, LA","Pointe Coupee Parish, LA","Rapides Parish, LA","Red River Parish, LA","Richland Parish, LA","Sabine Parish, LA","St. Bernard Parish, LA","St. Charles Parish, LA","St. Helena Parish, LA","St. James Parish, LA","St. John the Baptist Parish, LA","St. Landry Parish, LA","St. Martin Parish, LA","St. Mary Parish, LA","St. Tammany Parish, LA","Tangipahoa Parish, LA","Tensas Parish, LA","Terrebonne Parish, LA","Union Parish, LA","Vermilion Parish, LA","Vernon Parish, LA","Washington Parish, LA","Webster Parish, LA","West Baton Rouge Parish, LA","West Carroll Parish, LA","West Feliciana Parish, LA","Winn Parish, LA"
"Acadia Parish, LA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Allen Parish, LA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ascension Parish, LA",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Assumption Parish, LA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Avoyelles Parish, LA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Beauregard Parish, LA",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Bienville Parish, LA",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Bossier Parish, LA",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Caddo Parish, LA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calcasieu Parish, LA",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caldwell Parish, LA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cameron Parish, LA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Catahoula Parish, LA",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Claiborne Parish, LA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Concordia Parish, LA",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"De Soto Parish, LA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
