,Acadia,Allen,Ascension,Assumption,Avoyelles,Beauregard,Bienville,Bossier,Caddo,Calcasieu,Caldwell,Cameron,Catahoula,Claiborne,Concordia,De Soto,East Baton Rouge,East Carroll,East Feliciana,Evangeline,Franklin,Grant,Iberia,Iberville,Jackson,Jefferson,Jefferson Davis,LaSalle,Lafayette,Lafourche,Lincoln,Livingston,Madison,Morehouse,Natchitoches,Orleans,Ouachita,Plaquemines,Pointe Coupee,Rapides,Red River,Richland,Sabine,St. Bernard,St. Charles,St. Helena,St. James,St. John the Baptist,St. Landry,St. Martin,St. Mary,St. Tammany,Tangipahoa,Tensas,Terrebonne,Union,Vermilion,Vernon,Washington,Webster,West Baton Rouge,West Carroll,West Feliciana,Winn
Acadia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.19480272622257,0.0,0.0,0.0,0.0,0.0,0.0,24.091349750622072,0.0,21.603148560952125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.23021271363037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.039142423870636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen,0.0,0.0,0.0,0.0,0.0,30.68613423156154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.66168890955902,0.0,0.0,0.0,0.0,0.0,0.0,26.554487186044327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.46413571007063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.84148322449,0.0,0.0,0.0,0.0,0.0,0.0
Ascension,0.0,0.0,0.0,22.59841437065684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.548779705427183,0.0,0.0,0.0,0.0,0.0,0.0,26.48303876733615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.63457274790064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.074020885199506,26.890877939723204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assumption,0.0,0.0,22.59841437065684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2112953214117,30.01826746762527,0.0,0.0,0.0,0.0,0.0,44.656631806949534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.205255354671998,0.0,0.0,36.34490263036696,26.443045649642254,0.0,0.0,0.0,35.56426989323324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avoyelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.65341847411933,0.0,33.25008743025565,0.0,0.0,0.0,0.0,33.9179415119471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.433613759262755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.71208717336008,32.62042840869887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.88882117272904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.070274762912526,0.0
Beauregard,0.0,30.68613423156154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.89722497009208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.05381252379507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.04612271498792,0.0,0.0,0.0,0.0,0.0,0.0
Bienville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.334942963755005,0.0,0.0,0.0,0.0,0.0,32.94733035974328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.320874552321044,0.0,0.0,0.0,0.0,0.0,28.79573692813359,0.0,0.0,0.0,43.05249699288562,0.0,0.0,0.0,0.0,0.0,24.144048056844653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.030220331866335,0.0,0.0,0.0,37.08566921888889
Bossier,0.0,0.0,0.0,0.0,0.0,0.0,39.334942963755005,0.0,17.523128184649185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.206598383830695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.911303537252804,0.0,0.0,0.0,0.0
Caddo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.523128184649185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.170289297878135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.211982586936244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calcasieu,0.0,0.0,0.0,0.0,0.0,28.89722497009208,0.0,0.0,0.0,0.0,0.0,26.29229116691123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.640620260918105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
